address,amount
0x4bB1b1bb5B6e263fC7740A29ec9E84C55Ed4996B,20000000
0x1FC8F628b5B2e03aA4B0CF6E3eA5b7a4bb1e5334,20000000
0xB6C64630F654f315F32bffe34A4Ca37D5c9705C4,20000000
0xD94F2074BC092452CA52eE8c4d2F0adf41dFE768,20000000
0xf9e8E5D3735FE30d01721036Dd17DC2Edc8dFe63,20000000
0xDB0933a71EeA4ED53c599298953E52381637472a,20000000
0x6180668CcAd69D70B611307654c4ae6eF4Bc952C,20000000
0x3eA4D725C6AFd1ecFe54d8586DDbC6b812187b85,20000000
0xe4111052F7662f4451E42ab17Cb79AFBfcA09b5e,20000000
0x164384037Ed39e7440a28b14BEb5Cc1D82543549,20000000
0x5eD2892AeeaBd7743161fc297E47801D58De63C4,20000000
0x997150341cD792E71307712D771e0Da8963D9c57,20000000
0xccc1269520eF866E0cC679d85Bb651d068fc801e,20000000
0x3C70620311367e8D8ef0F0FFB4B4336c525ed7c3,20000000
0x0Cc66319d129f887Bd1D3fe58E10400ed1025A79,20000000
0x5d5555C446E51154DeE0A3631C2d030dBd933C71,20000000
0x506aFD089Fe41DBe5A407410C2B4cEC8a8B60E1b,20000000
0x726E4c91aAE9C5aAa164D85A2BF978253F7856Eb,20000000
0xa7e4F6c4cE5B3Ed86A93fFD2D5AbBcC837433b9D,20000000
0x9C5EcbcF68898C29381588d264b08a727a810BB3,20000000
0xb53933E43F4c3Fb32813f353348b0D6b70a5d46B,20000000
0x45a9a7960b6B2FD3Fc86946d8C97df8fD8c37AaD,20000000
0x5dE65272846059eFe0120F93e384bd5bcb738dcd,20000000
0x984827687F4E3222b09D09B6f5560ebF9B0179c8,20000000
0xA3E6B0E2B34A46c36eD20F80ddbF24250588b1e6,20000000
0x12cde71608b58c1012B42086E3aB64567A812283,20000000
0x171DEB6159Ce158bFdf63d9C3aF74093e5654dA8,20000000
0x0Cad2D0b33eC5206384A7e68876541211AB007A3,20000000
0xe953f23f21f781Ca736E629F9EfD86a4712AE924,20000000
0x3d0611Dbf78AB7C5D65e84D643Ec3DBc78826Eed,20000000
0xA9adB3CE2C00A5B0D3ece81d8fCd3293D9666043,20000000
0x74770C5d2A5a4F3eD5413533aeDe786a3d0b34bD,20000000
0xBBb462137111674b82071472e673D8138DEED8B4,20000000
0x4D4d01FF17f98C67f5A3096aF56F47EF802b3A73,20000000
0x6C3D0Afb09934F6781D4877B94E48b3e55a28086,20000000
0xdf52c0DdB34C6556522270FDE00072F268748c13,20000000
0xBADcF0ba3A26B25c5436bc048f1032304c30B8Dd,20000000
0x843757C98Bd996a6723C0637BdC3D62e5BFBD344,20000000
0xbe83E9060dE0c31668dDa0056F9ffeF4a4e155c7,20000000
0xfcE47b15A9c3C6aC491D455F6A42a540f0CCf14d,20000000
0xd10565A7216f63829bC9b3EbBb90244D0471013E,20000000
0xCADD06A3363CF6070a9d7bdF24CB77C29F3047Bc,20000000
0xde40889ba7fF0Fe1758A06e574793F24951951C1,20000000
0xC02C3eEFCAa20AFeD47851b61491E515eCF6F788,20000000
0x9482d61565a059D5A329FE856932836b8076729f,20000000
0xD7561C8b8e87068938200b670A01a6CEF9C66077,20000000
0x7eDeF84F4CCE39e99C4D506a3412222deA99372e,20000000
0x4DcD8b1AC9D8AAb7BA0BaB31B7241aF692Db36D5,20000000
0xa6402098aCa91b08c3F727767DD3832Ab145D3fa,20000000
0x94aA6564A4D3f1eD50fb1CFbE0aaeA505d7E0041,20000000
0x8524504E7aa1bFFAbfbB9351a1aB81028d7a436F,20000000
0xFC17f17Bd9A1dC356A6ed2dFB5E0F2A10B9B6cc1,20000000
0xBaDC1D8E1e3C927a87dD67331C4D7401643477aE,20000000
0x86FE389D85423c20Ee56f2960C530972401E8c14,20000000
0x9Ef27cEa287DB25e3b0c7492337B81bb3dAf1B5A,20000000
0x1fC710D30fb98163a77CF39c61aF0b958AB4FdF0,20000000
0x267497f2bE080dF359e47D4136137386DE557487,20000000
0xDc5B849D1C51E9241F67188072705a13620C7ed4,20000000
0x379634C1587362037b619DF5fBbaAbE554168934,20000000
0x3487548a59da022992d9Ea19DF60596f8861aD38,20000000
0x559EB80DCd36DE4e3b7E075A6477CcBc493d6D28,20000000
0xBe08E7Ec4c6A340908Ecb6C2DEc87d9085E38eD7,20000000
0x751EE5c218bE1cce88AF811B24f1E984B371d68a,20000000
0x70A8c4B81B2B45add7B812937c5844F171aC5819,20000000
0xB2458306fb6C3dd884c353c0a39C7d41Da29CA55,20000000
0xC797F3d851Cb011055874D67416C6B1E8d1ed9f4,20000000
0x20C021450E851a34F7aCbF497155ED1B496254c7,20000000
0x4039d20cFE24d9797fe4BAc2bf7c4263Fef0ab95,20000000
0x3e58139d6399e61ac29Da5E430A1e47e0e7E37b6,20000000
0xDeda18681B3537B02A5e3F03fa6A9B3D3BEc7113,20000000
0x5Af128DF4c0f110181f45CC4ee37223434AD999d,20000000
0xd2a351374c27E069D2A6dAf9048F336642b31007,20000000
0xBe99c2CdCee477d67b1362A8E851e6DcB3ECaE85,20000000
0x51B57f8F33ca43050ED057ef660Cf6723BF1b893,20000000
0x6Fd155Db281117EE7E49A0fE68753F1f4793f288,20000000
0x78676DdF02B641065e1e3D797f90a7Be9B9d4ba1,20000000
0xa2E4817Fd4155353B528fAc13F81246165C5aD68,20000000
0x7998e4cf1159418A6774D11fCf168E2Ccc151F43,20000000
0x08279c20a7a694323162d0fFAf981deB83589b86,20000000
0x7AB8Bda7379F1257E41336011Db7e72C48C8cdF7,20000000
0xcb3CC01782c9C03696AC737F6F0d66D141071a7a,20000000
0x747a675FD4020dfd00DE851Bd14501edE3061455,20000000
0xe44458bDe9e8bCF1Ea3dB3bA29061B6E191C399C,20000000
0xB865D927F14a1fB6f3b287B5a54B131861e3a732,20000000
0xC9Cb62FAA734C822dd4048f64E51d96d0Ae08e32,20000000
0x39728592e7364CCEE6eC013a8b8035B77Bd70121,20000000
0xe6CfdAf74bFEC00FafdE9724A46cb052548C8488,20000000
0x0A1704606B1F78b0Fb3598d5A00A00e72cE2892F,20000000
0xD58681Efe3407Eb166138aA8912E838aFF8d577F,20000000
0x4Ba58317B1DD49A050668E7FCbF3569fbA6B97B9,20000000
0xCe13dB05e0123a9884314075e81B0d9ce11F3465,20000000
0xC46503984394844569d03870dFa880B7c46C6087,20000000
0xa7db89466b6745B29E977bdC61F984e6999ad313,20000000
0x0BEA16b7A5E993aAf3b3A51653BF7dD1C0165408,20000000
0x6b5CA4508eBB2f3c87d3A17298D21A9345103Fd9,20000000
0x1C98A4A879FDE30a687EF7c49881168BeE31d9F0,20000000
0x6E7DFBB385C17580Aef317bb0B18D28F1e627454,20000000
0xA158aEEEd86e67479Af55afFE132859fA332B837,20000000
0x7adc144eA326c8a03327ec44205a9C124A3a0A7F,20000000
0x7b90A5Bc30D6a985618C3A70AC34f25AFbB459aC,20000000
0x7b67A29d1e9Fd5105bd75968d4Df22b6c543a444,20000000
0x814051B0Dc62341D89a8Ff9143A6a6E741621551,20000000
0x541422ACF8dcd32dD00d3b3C879C28f942f2E76D,20000000
0x4e3Eaa5573fbF90Bd1CbafBef9F1E4798012c84B,20000000
0xb8F4754B4D07e34E9725Af51b7725d5B8dd0dfa7,20000000
0x3D4232fa57eaC13f9818C63e9dB9e6993cDC10e9,20000000
0x08792773e8a6f1C3491469F7F5beb2012dEAF275,20000000
0x35C3a97E5c8327aE68455D76988171930B3Ea3E0,20000000
0xfeda4D2b07021c4E7F5B5F527e157A008Cec10d4,20000000
0x4aC68a8f1ee43f6ef1303289c9346C4024D7A79a,20000000
0x9C803f60a1307E072F27d2660CbeF936e450E0D7,20000000
0xcB940e12a6631A3dc55071CA040a7c59c02a514E,20000000
0x6aF79C7539F36C32253b070dc352c8C63B1887d5,20000000
0x1E0D39ecE4B10C508a2a2753Ed39BcB2a598455e,20000000
0x62f52C273C24DD47d05C01C4fF2405F2a6B9d66e,20000000
0xaBcf1076CA6f5A2BD4EFcF0a8A262C84Ca4CBBe0,20000000
0xf4Bf19f0283C34A43E84c0c9914CafB8D68f8712,20000000
0x45C1bAEa93d3d403f9C4B7FE6dFa69f1105Ba993,20000000
0xB26c469c17154911AF343E506ED8eFcd77EebdA0,20000000
0x392B5C022fB064868F3b462cE705c0B12EC94051,20000000
